text,label,company
[마켓컬리] 한국경제신문 30분 만에 읽기 | 20260515🌞#모닝루틴 코리아<b>마켓</b> | 영상 보기 가. 국내 주요 기업 경영 현안 및 노사 갈등 분석 1) 삼성전자 파업 위기와 정부의 법적 대응 체계 ① 긴급조정권 발동 검토 삼성전자...경우 국가 핵심 전략 자산의 훼손은 물론 글로벌 공급망에서의 신뢰도 <b>하락</b> 등 회복 불가능한 피해가 예상된다고 판단한다. 고용노동부는 국민 경제와 공익...,irrelevant,마켓컬리
"[마켓컬리] 아파트아이 제휴카드 삼성카드 혜택 총정리 (할인율 얼마나 될까) 쿠팡, <b>마켓</b><b>컬리</b> 같은 온라인 쇼핑몰 멤버십을 정기결제로 이용하면 최대 5천 원까지 추가 할인도 받을 수 있습니다. ​ 연회비는 국내전용, 해외겸용(마스터카드) 모두 2만 9천 원입니다. ​ 삼성 iD ALL 카드 삼성 iD ALL 카드는 아파트 관리비 정기결제 시 2.5% 할인을 제공합니다. 관리비, 이동통신요금, 주유비를 합산해...",irrelevant,마켓컬리
"[마켓컬리] &#34;2026년 4월 29일 간추린 셀러 뉴스&#34; 한숨 돌리게 된 쿠팡은 공정거래위원회의 김범석 쿠팡 아이엔씨(Inc) 의장 공시대상 기업 www.hani.co.kr ​ ​ 5. <b>해킹</b> 책임 없다는 쿠팡…공정위, 오픈<b>마켓</b> ‘불공정 약관’ 손본다 ​ 쿠팡·네이버·<b>컬리</b> 등 7개 오픈<b>마켓</b> 대상 시정 항목 가장 많은 곳은 쿠팡...총 8개 공정거래위원회가 쿠팡의 대규모 개인정보 유출 사태...",irrelevant,마켓컬리
"[마켓컬리] 간추린 패션유통 늬우스 260223 강자 <b>컬리</b> 14.5% 늘어 www.hankyung.com △ “박리다매는 끝났다” 중저가 패션시장 ‘프리미엄’ 가속화 중저가 패션시장이 상향조정 되고 있다. 단순한 가격...Retviews)가 제시한 AW25/26 시즌 분석에 따르면 유럽 시장에서 미드<b>마켓</b> 브랜드의 평균 가격은 2024년 대비 50% 이상 상승했으며, 일부 미국 브랜드의 경우...",relevant,마켓컬리
"[마켓컬리] 11월5일 이병철의 뉴스클리핑 SKT가 <b>개인</b><b>정보</b>보호법상 보호조치 의무를 위반했고, <b>유출</b><b>정보</b> 악용으로 인한 휴대전화 복제 피해 우려와 정신적 손해를 인정해 배상금을 정했다고 설명했는데, 이에...",irrelevant,마켓컬리
"[마켓컬리] 콜린스 다이닝 전복솥밥 키트, 마켓컬리 내돈내산 구매 후기 오,, 마켓컬리 구경하다가 전복 솥밥 키트를 발견했습니다! 바로 구매~ 콜린스 다이닝의 전복솥밥 키트 전복 솥밥 키트와 참기름만 들어있어요~ 쌀 250g은 따로 준비가 필요합니다. 18,900원 (마켓컬리) 0점 계량..",irrelevant,마켓컬리
[마켓컬리] 2026년 04월 02일 목요일 &lt;04월 02일 주요 마케팅 뉴스클리핑 요약 분석&gt; 저해한다는 <b>논란</b>이 일고 있다. 숏폼 커머스 시장 확대 과정에서 플랫폼의 수익화 전략과 이용자의 선택권 사이의 기준 정립이 시급한 과제로 떠올랐다. 5. 챗GPT 앱<b>마켓</b> 부진… 애플 대항 전략 초기 한계 드러나 오픈AI가 야심 차게 선보인 챗GPT 내 미니 앱 생태계가 복잡한 승인 절차와 기능적 제약으로 인해 개발자들...,irrelevant,마켓컬리
"[마켓컬리] 2025년 12월 3일 뉴스 브리핑 했다고함 4. 중국서 한국 쿠팡계정 판매 3천만 명이 넘는 쿠팡 고객들의 <b>개인</b> <b>정보</b>가 <b>유출</b>돼 경찰이 수사에 나선 가운데, 중국판 당근<b>마켓</b>인 시엔위에서 쿠팡 한국 계정...",irrelevant,마켓컬리
[마켓컬리] 2026년 08월 03일 물류뉴스 브리핑 #사우디연합군 #튀르키예#육상경로#환경보호 #오픈마켓#분쟁주의#제도개선 #인천항#중고차수출#글로벌허브 #K뷰티#브라질시장#중남미확장 #컬리USA#평택물류센터#냉동상품 #물류혁신#스테이블코인#국제결제 #해외..,irrelevant,마켓컬리
"[마켓컬리] [2025년 11월14일 (금요일)] 간추린 아침세상소식] 쿠팡과 <b>마켓</b><b>컬리</b> 등 국내 유통 플랫폼이 위축되면, 신선식품 배송 시장을 노리는 중국 알리바바그룹이 ‘빈틈’을 파고들 것이라는 우려가 제기되고 있다. 14일 유통 및 택배업계에 따르면 한쪽은 “새벽배송을 금지하자”, 다른 한쪽은 “신선식품 배송을 시작하겠다.” 우연처럼 겹친 두 움직임이 시장의 불안을 자극...",relevant,마켓컬리
"[마켓컬리] 7월 16일 목요일 AONE이 뽑은 뉴스 헤드라인 폴리<b>마켓</b> BTC 베팅, 바이낸스서 시세조작 가능성&#34; -EU도 피할 수 없는 인구 절벽…&#34;2050년 3명 중 1명은 65세 이상&#34; -佛 하원, 3년여 진통 끝 안락사법 통과…찬성 291...",irrelevant,마켓컬리
"[마켓컬리] 온라인 마케팅 뉴스 브리핑-&lt;공정위 15년만에 이커머스 <b>갑질</b>단속&gt; 제공하는 멤버십 및 적립금 경쟁으로 재편되고 있습니다. 오아시스<b>마켓</b>, SSG닷컴, <b>컬리</b> 등 주요 플랫폼들이 무료배송 기준을 낮추거나 혜택을 대폭 강화하는...통한 수익성 개선을 기대하고 있습니다. ​ 2. [유통/정책] &#34;이커머스 납품<b>갑질</b> 꼼짝 마&#34; 15년만에 유통업 규제 수술 - 공정거래위원회가 이커머스 업계의 단가...",relevant,마켓컬리
"[마켓컬리] 간추린 뉴스, 2025년 12월 4일 목요일 12월 FOMC를 앞두고 금리 인하 기대가 커지고 있습니다. ■쿠팡 <b>개인</b><b>정보</b> <b>유출</b> 사태에 이어 G<b>마켓</b>에서도 모바일 상품권 도용 결제가 발생했습니다. 금융당국이 사실...",irrelevant,마켓컬리
[마켓컬리] 12월 4일 목요일 뉴스 헤드라인 G<b>마켓</b> &#34;피해액 전액 보상 -&#34;매출 30% 빠져&#34;…입점상인들 &#39;탈팡러시&#39; 불똥 -대법원 관세 무효화 판결 가능성 높다고 보고 &#34;미 기업들 경쟁적으로 트럼프 관세 환급 청구...,irrelevant,마켓컬리
"[마켓컬리] [<b>마켓</b>워치]7월16일 중국 증권·경제 주요 헤드라인 출처와 <b>개인</b><b>정보</b> 보호, 생성물 표시, 미성년자 보호, 보안평가 등 규정을 준수해야 한다. 정책 불확실성이 낮아진 만큼 스마트폰 제조사와 대형모델 기업은 AI 통화요약과 실시간 번역, 사진·영상 생성, 앱 자동...",irrelevant,마켓컬리
"[마켓컬리] 2025년 12월 05일 마케팅뉴스클리핑 맞춤형으로 조정해 준다. #3. 쿠팡 <b>개인</b><b>정보</b> <b>유출</b> 여파… 이커머스, 이탈 고객 잡기...N배송·지금배달 홍보를 강화했고, <b>컬리</b>는 신규가입 할인·멤버십 혜택을 확대...",irrelevant,마켓컬리
"[마켓컬리] 마켓컬리 콜린스 다이닝 전복솥밥 키트 솔직 후기 | 집에서 간편하.. 한가인 배우님 유튜브 보다가 알게 된 마켓컬리 콜린스 다이닝 전복솥밥 키트를 바로 주문해 봤어요. 구성부터 조리법, 실제 먹어본 후기까지 정리해 볼게요 콜린스 다이닝 전복솥밥 참기름이 얼어 있어 물에..",relevant,마켓컬리
"[마켓컬리] 소울(XOUL) '퓨어 셀 클렌징 젤', 컬리 폼·젤 클렌저 카테고리 2위 기록 얼리 안티에이징 스킨케어 브랜드 소울(XOUL)의 '퓨어 셀 클렌징 젤'이 마켓컬리 클렌저 카테고리에서 판매 흐름을 이어가고 있다. 소울은 '퓨어 셀 클렌징 젤'이 마켓컬리 폼·젤 클렌저 카테고리 랭킹 2위에 올랐으며, 최근..",relevant,마켓컬리
[마켓컬리] 연우의 지속 가능한 광고 아카이브 고수로서 <b>마켓</b><b>컬리</b>나 ​ 여러 편집숍 광고를 접하다 보면 이걸 누가 누를까 싶을 때가 있죠. 하지만 직접 광고를 집행해본 경험자들의 이야기를 들어보면 생각보다 단순한 원리로 작동한다는 것을 알 수 있어요. 광고비 150만 원을 써서 순이익이 딱 150만 원만 남는 상황이 오더라도 그것은 결코 실패한 투자가 아니에요...,relevant,마켓컬리
"[마켓컬리] <b>컬리</b>와 쿠팡의 새벽배송과 흑자전환, 새벽배송의 긍정과 부정 효과(쿠팡TF), 새벽배송 제한에 대한 첨예... 정리해 보고자 합니다. ▶ 새벽 배송의 <b>논란</b>에 대해 정리되어 있는 어린이 경제신문 새벽 배송의 시작! ​ 새벽 배송을 국내에서 최초로 시작한 기업은 <b>마켓</b> <b>컬리</b>(현 <b>컬리</b>)입니다. 2015년 5월 &#39;샛별 배송&#39;이라는 이름으로 밤 11시까지 주문하면 다음 날 새벽에 배송되는 서비스를 처음 선보였죠. 이것이 한국에서 &#39;새벽...",relevant,마켓컬리
[마켓컬리] (16화) 개인정보 다 털렸는데 오너만 빠져나간 이유 | 코리아 디스카운트 16화 | 와이즈포레스트 천준범... <b>컬리</b>(<b>마켓</b><b>컬리</b>)가 언급되었으나 대안이 부족하다는 의견도 있음. ​ 1.2. 쿠팡 성장 배경과 현재 법적 조사 상황 00:01:42 (2분) 쿠팡 성장 과정 분석: 천 변호사는 2010년 창업 시점부터 쿠팡의 성장 과정과 현재 질타를 받는 이유를 분석할 예정임. 규제 회피를 통한 성장: 쿠팡은 성장에 있어 규제를 뛰어넘는 방식이...,irrelevant,마켓컬리
[마켓컬리] 동네톡톡] 장학금에 60년 세수 확보... 원전 유치전 불... 방사능 <b>유출</b> 가능성은 여전히 지역 주민들의 우려 요인입니다. 지난 2011년 위성이 촬영한 후쿠시마 제1원전 폭발 현장의 모습. 연기가 나는 것이 원전 3호기 외곽건물...,irrelevant,마켓컬리
"[마켓컬리] 에어컨 앞에 온도계? 꼼수 부리다 &#39;신뢰 파산&#39; 맞는 택배회사들 (ESG를 무시한 대가) 소비자 <b>불매</b>운동, 주가 폭락이라는 훨씬 더 비싼 대가로 돌아옵니다. “안전은 비용이 아니라 최고의 투자다.” 이번 사건이 다시 보여주고 있습니다. ​ 3️⃣ “진짜 리스크는 정부가 아니라 소비자다.” (이건 진짜 꿀팁!🔥) 정부의 점검은 일회성이지만, 소비자의 외면은 기업 존립 자체를 위협하는 진짜 리스크입니다...",irrelevant,마켓컬리
"[마켓컬리] 주간 일기 | 최애 버거 화이트갈릭버거, 조카랑 물놀이터, 8월의 마.. 마켓컬리 장바구니 테라 라이트 맥주 맛있어서 이번에는 테라 제로 맥주 구입. 0kcal 무알콜이라 그냥 맥주 음료수. 무화과가 나오기 시작하면, 꼭 구입한다. 집에서 혼자 먹는 무화과이지만, 무화과 샌드위치로..",irrelevant,마켓컬리
