band,event_id,company,primary_type,시작,종료,지속시간,기사수,제목에기업명,is_risk,실제유형,note,max_p
A_0.90+,2261,네이버,financial_governance,2025-10-15 09:00,2025-10-15 09:00,0.0h,1,0,,,개웃겼던 어제 국정감사에서 나온 케이팝 콘서트 본인...,0.9948
A_0.90+,2256,네이버,financial_governance,2025-10-15 09:00,2025-10-15 09:00,0.0h,1,0,,,"[국정감사] 박상웅 의원, 정산주기 지연 등 '쿠팡 갑질' 질타",0.989
A_0.90+,1442,무신사,financial_governance,2025-10-13 09:00,2025-10-13 09:00,0.0h,1,1,,,"무신사 조만호 대표, 국감 불출석 논란…'플랫폼 갑질'에 정치권 재소환...",0.9972
A_0.90+,1408,무신사,financial_governance,2025-10-10 09:00,2025-10-10 09:00,0.0h,1,0,,,"[단독] 이선정 올리브영 대표, 올해 또 ‘국감 증인’ 출석 면했다",0.9803
A_0.90+,2181,카카오,financial_governance,2026-08-28 15:00,2026-08-28 15:00,0.0h,1,1,,,카카오 ‘시너지 약화’ vs SK이노 ‘재무 부담’…지배구조 개편에 주...,0.9923
A_0.90+,5404,SSG,financial_governance,2026-08-27 15:24,2026-09-01 09:54,114.5h,6,6,,,"정용진·정유경 계열분리 속도…SSG닷컴 인적분할; '6100억 적자 늪' SSG닷컴, 7년 만에 재분할…계열분리 속도; 7년 만에 다시 쪼개지는 SSG닷컴···정용진·정유경 계열분리 마무리 ...",1.0
A_0.90+,2062,카카오,labor_hr,2026-08-26 13:53,2026-08-26 14:14,0.3h,3,3,,,구호 외치는 카카오 노조; 구호 외치는 카카오 노조; [포토] 구호 외치는 카카오 노조,1.0
A_0.90+,2119,카카오,labor_hr,2026-08-27 07:42,2026-08-27 07:42,0.0h,1,1,,,"[시시비비]쪼개기 프레임 갇힌 카카오, 'AI 생존' 골든타임 놓칠라",0.9917
A_0.90+,2008,카카오,labor_hr,2026-08-26 10:16,2026-08-26 10:16,0.0h,1,1,,,"인적분할 반발…카카오 노조, 판교서 공동교섭 선포",0.9922
A_0.90+,4151,쿠팡,labor_hr,2026-08-31 09:02,2026-08-31 12:02,3.0h,6,6,,,‘새벽 배송’ 출격하는 네이버..쿠팡 독주 끝나나 | 인사이트30; ‘새벽 배송’ 출격하는 네이버..쿠팡 독주 끝나나 | 인사이트30; ‘새벽 배송’ 출격하는 네이버..쿠팡 독주 끝나나 | 인사이트30,1.0
A_0.90+,1428,무신사,labor_hr,2025-10-13 09:00,2025-10-13 09:00,0.0h,1,0,,,프랜차이즈 뉴스 | 2025년 10월 3주차 브리핑,0.9004
A_0.90+,2328,네이버,labor_hr,2026-09-01 19:36,2026-09-01 19:54,0.3h,2,2,,,"임금 동결에 반발…네이버제트 노조, 9일 4시간 부분 파업; 네이버제트 노조, 임금 동결에 반발…9일 4시간 부분 파업",1.0
